,User,Hashtags,Like,Retweet,Follow,Tag,Link,Time
121,JuaNFT_sol,"#NFTGiveaways,#nftart,#NFTProject,#drainer,#SolanaNFT,#NFTCommunity,#nft",0,0,0,0,https://twitter.com/twitter/statuses/1525917578941583362,2022-05-15 19:14:35+00:00
122,BoffinSociety,,0,0,['@BoffinSociety'],0,https://twitter.com/twitter/statuses/1525917557357780992,2022-05-15 19:14:30+00:00
123,KnifeNft,,0,1,['@nftThrive'],0,https://twitter.com/twitter/statuses/1525917444753211394,2022-05-15 19:14:03+00:00
124,OG_metapunks,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525917434451857408,2022-05-15 19:14:01+00:00
125,48YearsOfTravel,"#NFT,#nfts,#NFTCommmunity,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525917344530300933,2022-05-15 19:13:39+00:00
126,Shyn1I,,0,0,0,0,https://twitter.com/twitter/statuses/1525917295003975681,2022-05-15 19:13:27+00:00
127,Pillaz007,"#NFTs,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525917287622004738,2022-05-15 19:13:26+00:00
128,OG_metapunks,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525917209406582784,2022-05-15 19:13:07+00:00
129,goosey1309,,0,0,0,0,https://twitter.com/twitter/statuses/1525917179631517696,2022-05-15 19:13:00+00:00
130,OG_metapunks,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525917158496055296,2022-05-15 19:12:55+00:00
131,OG_metapunks,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525917094491041792,2022-05-15 19:12:40+00:00
132,HentabliM,"#Giveaway,#NFT,#NFTs,#NFTdrop,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525917028812455936,2022-05-15 19:12:24+00:00
133,Wakalls,,0,0,0,0,https://twitter.com/twitter/statuses/1525916948990771200,2022-05-15 19:12:05+00:00
134,savage_girl20,,0,0,0,0,https://twitter.com/twitter/statuses/1525916931630370817,2022-05-15 19:12:01+00:00
135,BoredDeers,#NFTGiveaways,0,1,@BoredDeers,0,https://twitter.com/twitter/statuses/1525916903461597186,2022-05-15 19:11:54+00:00
136,doodybuddy,#NFTGiveaway,0,1,0,0,https://twitter.com/twitter/statuses/1525916902018654210,2022-05-15 19:11:54+00:00
137,DHUniverse_CNFT,,0,0,0,0,https://twitter.com/twitter/statuses/1525916886571044864,2022-05-15 19:11:50+00:00
138,sadbrush0,"#NFTs,#Ethereum,#NFTs",0,0,0,0,https://twitter.com/twitter/statuses/1525916874411843584,2022-05-15 19:11:47+00:00
139,bjackson215,#NFTGiveaways,0,0,0,0,https://twitter.com/twitter/statuses/1525916817755148290,2022-05-15 19:11:34+00:00
140,NftHybears,"#NFT,#NFTs",0,0,0,0,https://twitter.com/twitter/statuses/1525916809198653440,2022-05-15 19:11:32+00:00
141,DemoSkullz,"#NFTCommunity,#NFTGiveaways,#NFTs",0,0,0,0,https://twitter.com/twitter/statuses/1525916796489850880,2022-05-15 19:11:29+00:00
142,mphsss300,"#OakParadise,#OakList,#Solana,#SolanaNFTs",0,0,0,0,https://twitter.com/twitter/statuses/1525916519628259328,2022-05-15 19:10:23+00:00
143,IlyaSantana,,0,0,0,0,https://twitter.com/twitter/statuses/1525916492126199810,2022-05-15 19:10:16+00:00
144,Bozz_Catz,"#BozzCatz,#T21Love,#DownSyndrome,#NFTGiveaway,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525916489555095554,2022-05-15 19:10:15+00:00
145,DLKDIRTYJ,"#NFT,#nftart,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525916421208694784,2022-05-15 19:09:59+00:00
146,MetaMandy_,"#NFTGiveaways,#NFTs,#NFTProject,#nftcollectors,#yearofthewoman",0,0,0,0,https://twitter.com/twitter/statuses/1525916408923803648,2022-05-15 19:09:56+00:00
147,hifagallery,"#presidents,#UN",0,0,0,0,https://twitter.com/twitter/statuses/1525916383355150336,2022-05-15 19:09:50+00:00
148,DinosaurOgalaxy,,0,0,0,0,https://twitter.com/twitter/statuses/1525916373716721666,2022-05-15 19:09:48+00:00
149,HoomansN,,0,0,0,0,https://twitter.com/twitter/statuses/1525916350190964736,2022-05-15 19:09:42+00:00
150,HentabliM,"#Giveaway,#NFT,#NFTs,#NFTdrop,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525916278996754433,2022-05-15 19:09:25+00:00
151,CyprienLyautey,"#NFTs,#ETH,#Ethereum",0,0,0,0,https://twitter.com/twitter/statuses/1525916240656613376,2022-05-15 19:09:16+00:00
152,SAKURAxKOYOMI,,0,0,0,0,https://twitter.com/twitter/statuses/1525916125057490946,2022-05-15 19:08:49+00:00
